Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Pre-consumer processes to End-of-life,0$\pm$0,0.092$\pm$0.058,2.6$\pm$1.6,0$\pm$0,0$\pm$0,0$\pm$0,1.3$\pm$0.74,4$\pm$1.8,0.092$\pm$0.058,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Pre-consumer processes to Soil (MP),9.3$\pm$4,12.3$\pm$5,15.5$\pm$5.7,5.4$\pm$2.3,3.7$\pm$1.5,9.3$\pm$4.2,10.8$\pm$3.6,66$\pm$11,21.6$\pm$6.4,0.0091$\pm$0.0028,2,4,4,2,2,2,4,4,4,2
Pre-consumer processes to Water (MP),0$\pm$0,0.0038$\pm$0.0045,0.1$\pm$0.11,0$\pm$0,0$\pm$0,0$\pm$0,0.053$\pm$0.054,0.16$\pm$0.12,0.0038$\pm$0.0045,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Pre-consumer processes to Export,0,0,2610$\pm$640,0,0,0,0,0$\pm$0,0$\pm$0,0$\pm$0,0,0,8,0,0,0,0,0,0,0
Consumer packaging to Waste collection and recycling,17700$\pm$3500,45000$\pm$7800,33700$\pm$6100,19800$\pm$3100,0$\pm$0,4300$\pm$1200,62300$\pm$7000,183000$\pm$13000,62600$\pm$8600,19.8$\pm$3.1,10,10,10,10,0,8,10,10,10,10
Consumer packaging to On-the-go consumption,2320$\pm$550,5900$\pm$1300,3920$\pm$820,1210$\pm$260,0$\pm$0,390$\pm$120,16900$\pm$2900,30600$\pm$3300,8200$\pm$1400,1.21$\pm$0.26,8,8,8,8,0,6,10,10,8,8
Consumer packaging to Dumping,5.4$\pm$2,13.8$\pm$4.4,10.2$\pm$3.6,5.7$\pm$2.7,0$\pm$0,1.29$\pm$0.62,21.5$\pm$6.7,57.9$\pm$9.4,19.2$\pm$4.8,0.0057$\pm$0.0027,2,4,4,2,0,2,4,4,4,2
Consumer packaging to Organic waste collection,880$\pm$240,1360$\pm$330,1010$\pm$240,285$\pm$81,0$\pm$0,81$\pm$26,1240$\pm$220,4850$\pm$530,2240$\pm$410,0.285$\pm$0.081,6,8,8,6,0,4,8,8,8,6
Non-consumer packaging to Waste collection and recycling,59500$\pm$9700,11200$\pm$2500,17200$\pm$3500,5100$\pm$1100,6600$\pm$1600,4000$\pm$1100,6000$\pm$1100,110000$\pm$11000,71000$\pm$10000,11.7$\pm$2,10,10,10,8,8,8,8,10,10,10
Non-consumer packaging to Litter,710$\pm$410,134$\pm$81,206$\pm$99,61$\pm$33,79$\pm$52,48$\pm$27,72$\pm$40,1310$\pm$440,840$\pm$420,0.14$\pm$0.061,6,6,6,4,4,4,4,8,6,6
Non-consumer packaging to Dumping,16.4$\pm$7.4,3.1$\pm$1.5,4.7$\pm$1.8,1.4$\pm$0.62,1.82$\pm$0.95,1.09$\pm$0.52,1.66$\pm$0.74,30.2$\pm$7.9,19.5$\pm$7.6,0.0032$\pm$0.0011,4,2,2,2,2,2,2,4,4,2
Construction to Waste collection and recycling,8000$\pm$2200,25700$\pm$6400,13300$\pm$3600,10500$\pm$2800,24000$\pm$3400,69000$\pm$11000,780$\pm$370,151000$\pm$14000,33700$\pm$6800,34.5$\pm$4.4,8,10,10,10,10,10,6,10,10,10
Construction to Litter,80$\pm$37,250$\pm$130,114$\pm$73,104$\pm$52,240$\pm$130,690$\pm$260,0$\pm$0,1480$\pm$340,330$\pm$140,0.34$\pm$0.14,4,6,6,6,6,6,0,8,6,6
Construction to Dumping,2.18$\pm$0.9,7.1$\pm$3.2,3.6$\pm$1.8,2.9$\pm$1.3,6.6$\pm$3.1,18.9$\pm$6.3,0.22$\pm$0.14,41.5$\pm$8,9.2$\pm$3.3,0.0094$\pm$0.0034,2,2,2,2,2,4,1,4,2,2
Construction to Soil (MP),7.2$\pm$4,39$\pm$17,31$\pm$12,0$\pm$0,0$\pm$0,68$\pm$32,1.2$\pm$1.1,146$\pm$38,46$\pm$18,0$\pm$0,2,4,4,0,0,4,2,6,4,0
Construction to Soil,0$\pm$0,0.71$\pm$0.6,20$\pm$12,0$\pm$0,0$\pm$0,0$\pm$0,7.8$\pm$5.6,29$\pm$13,0.71$\pm$0.6,0$\pm$0,0,1,4,0,0,0,2,4,1,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,9.4$\pm$6.6,0$\pm$0,9.4$\pm$6.6,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,3.4$\pm$2.5,2.42$\pm$0.6,0$\pm$0,0$\pm$0,5.8$\pm$2.6,0$\pm$0,0.0058$\pm$0.0026,0,0,0,2,2,0,0,2,0,2
Automotive to Waste collection and recycling,1220$\pm$340,3110$\pm$860,12600$\pm$3200,15.7$\pm$4.5,0$\pm$0,5000$\pm$2500,980$\pm$520,23000$\pm$4200,4330$\pm$920,0.0157$\pm$0.0045,8,8,10,4,0,8,6,10,8,4
Automotive to Soil,1.77$\pm$0.87,3.8$\pm$1.8,15.1$\pm$7.3,0.0137$\pm$0.0086,0$\pm$0,1.9$\pm$1.2,0.024$\pm$0.012,22.5$\pm$7.7,5.5$\pm$2,0.0000137$\pm$0.0000086,2,2,4,1,0,2,1,4,2,1
Automotive to Export,1410$\pm$360,3600$\pm$900,14600$\pm$3400,18.1$\pm$4.7,0$\pm$0,5800$\pm$2800,1140$\pm$590,26500$\pm$4500,5000$\pm$970,0.0181$\pm$0.0047,8,8,10,4,0,8,8,10,8,4
Agriculture to Waste collection and recycling,9600$\pm$3800,1030$\pm$230,5500$\pm$1200,72$\pm$42,0$\pm$0,960$\pm$580,580$\pm$320,17800$\pm$4000,10600$\pm$3800,0.072$\pm$0.042,8,8,8,4,0,6,6,10,10,4
Agriculture to Dumping,2.7$\pm$1.4,0.29$\pm$0.12,1.61$\pm$0.67,0.02$\pm$0.016,0$\pm$0,0.27$\pm$0.18,0.17$\pm$0.13,5.1$\pm$1.6,3$\pm$1.4,0.00002$\pm$0.000016,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,400$\pm$170,19.2$\pm$6.3,273$\pm$80,0.97$\pm$0.63,0$\pm$0,25$\pm$16,29$\pm$18,740$\pm$190,410$\pm$170,0.00097$\pm$0.00063,6,4,6,1,0,4,4,6,6,1
Agriculture to Soil (MP),108$\pm$77,2.1$\pm$1.9,54$\pm$39,0.074$\pm$0.056,0$\pm$0,7.7$\pm$6,7.6$\pm$6.8,180$\pm$87,110$\pm$77,0.000074$\pm$0.000056,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,340$\pm$180,24$\pm$12,360$\pm$210,2.2$\pm$2.1,0$\pm$0,29$\pm$22,41$\pm$36,800$\pm$280,360$\pm$180,0.0022$\pm$0.0021,6,4,6,2,0,4,4,6,6,2
Hygiene products to Waste collection and recycling,0$\pm$0,740$\pm$470,850$\pm$570,0$\pm$0,0$\pm$0,0$\pm$0,810$\pm$450,2400$\pm$1200,740$\pm$470,0$\pm$0,0,6,6,0,0,0,6,8,6,0
